edition,year,venue,round,team 1,team 2,score,score_halftime
1980-ITALY,1979,Athína,QUALIFYING,Greece (Ελλάδα),Soviet Union (СССР),1-0,1-0
1980-ITALY,1979,Belfast,QUALIFYING,Northern Ireland (Ulster),Ireland (Éire),1-0,0-0
1980-ITALY,1979,Sofija,QUALIFYING,Bulgaria (България),Ireland (Éire),1-0,0-0
1980-ITALY,1979,Bucureşti,QUALIFYING,Romania (România),Cyprus (Κύπρος),2-0,1-0
1980-ITALY,1980,London,QUALIFYING,England,Ireland (Éire),2-0,1-0
1980-ITALY,1980,Napoli,FS_GROUP_STAGE,Netherlands (Nederland),Greece (Ελλάδα),1-0,0-0
1980-ITALY,1980,Roma,FS_GROUP_STAGE,FRG (BRD / Westdeutschland),Czechoslovakia (Československo),1-0,0-0
1980-ITALY,1979,Amsterdam,QUALIFYING,Netherlands (Nederland),Poland (Polska),1-1,0-1
1980-ITALY,1980,Bremen,QUALIFYING,FRG (BRD / Westdeutschland),Malta,8-0,3-0
1980-ITALY,1979,Gelsenkirchen,QUALIFYING,FRG (BRD / Westdeutschland),Turkey (Türkiye),2-0,1-0
1980-ITALY,1979,Glasgow,QUALIFYING,Scotland,Belgium (België),1-3,0-3
1980-ITALY,1979,Lemesós,QUALIFYING,Cyprus (Κύπρος),Spain (España),1-3,0-2
1980-ITALY,1980,Torino,FS_GROUP_STAGE,Belgium (België),England,1-1,1-1
1980-ITALY,1979,Praha,QUALIFYING,Czechoslovakia (Československo),Luxembourg (Lëtzebuerg),4-0,3-0
1980-ITALY,1979,İzmir,QUALIFYING,Turkey (Türkiye),Wales (Cymru),1-0,0-0
1980-ITALY,1979,Leipzig,QUALIFYING,GDR (DDR / Ostdeutschland),Netherlands (Nederland),2-3,2-1
1980-ITALY,1979,Lisboa,QUALIFYING,Portugal,Austria (Österreich),1-2,1-1
1980-ITALY,1979,Bruxelles,QUALIFYING,Belgium (België),Scotland,2-0,1-0
1980-ITALY,1980,Torino,FS_GROUP_STAGE,Italy (Italia),England,1-0,0-0
1980-ITALY,1980,Milano,FS_GROUP_STAGE,Belgium (België),Spain (España),2-1,1-1
1980-ITALY,1980,Napoli,FS_GROUP_STAGE,FRG (BRD / Westdeutschland),Netherlands (Nederland),3-2,1-0
1980-ITALY,1980,Roma,FS_GROUP_STAGE,Czechoslovakia (Československo),Greece (Ελλάδα),3-1,2-1
1980-ITALY,1979,London,QUALIFYING,England,Bulgaria (България),2-0,1-0
1980-ITALY,1980,Milano,FS_GROUP_STAGE,Italy (Italia),Spain (España),0-0,0-0
1984-FRANCE,1983,Budapest,QUALIFYING,Hungary (Magyarország),Denmark (Danmark),1-0,0-0
1984-FRANCE,1983,Praha,QUALIFYING,Czechoslovakia (Československo),Italy (Italia),2-0,0-0
1984-FRANCE,1983,Napoli,QUALIFYING,Italy (Italia),Sweden (Sverige),0-3,0-2
1984-FRANCE,1983,Stockholm,QUALIFYING,Sweden (Sverige),Czechoslovakia (Československo),1-0,1-0
1984-FRANCE,1983,Oslo,QUALIFYING,Norway (Norge),Wales (Cymru),0-0,0-0
1984-FRANCE,1983,London,QUALIFYING,England,Denmark (Danmark),0-1,0-1
1984-FRANCE,1983,Oslo,QUALIFYING,Norway (Norge),Bulgaria (България),1-2,1-1
1984-FRANCE,1983,West-Berlin,QUALIFYING,FRG (BRD / Westdeutschland),Turkey (Türkiye),5-1,1-0
